No,Yrs,T-N,C-N,T-Pre,T-Post,C-Pre,C-Post,PostTC-PreTC
* Randomized control trial or matched control group
1,1.0,919,867,36.0,34.4,36.0,38.8,-
2,1.5,301,412,5.0,4.7,5.1,4.8,-
3,1.5,180,412,5.2,3.2,5.1,4.8,-
4,1.5,295,412,5.2,4.1,5.1,4.8,-
5,1.0,266,1242,4.6,4.2,7.0,9.1,-
6,2.0,597,645,18.0,13.5,19.1,18.2,-
7,2.0,1406,487,5.9,5.6,5.3,6.0,-
8,2.0,29315,14573,5.7,4.9,5.2,4.9,-
9,1.0,2546,7143,5.6,5.5,6.0,6.2,-
* Non-randomized or unmatched comparison group
10,1.0,392,142,0.3,0.1,0.1,0.5,-
11,0.5,2586,50576,3.9,3.0,1.6,1.5,-
12,4.0,1275,2687,3.1,2.3,3.1,3.3,-
13,2.0,221,296,8.7,9.0,10.0,12.4,-
14,6.0,2596,1593,6.6,17.2,6.6,23.3,-
15,2.0,450,1178,29.2,27.8,33.2,38.1,-
16,1.0,469,415,12.4,11.0,14.3,14.2,-
17,4.0,3122,1850,9.1,10.2,9.1,10.8,-
18,2.0,7178,7101,3.2,3.0,2.9,2.9,-
19,2.0,2232,5863,4.4,3.7,5.6,5.5,-
20,2.0,688,387,2.5,2.6,2.9,4.3,-
* Missing group-level data
21,3.0,727,1950,-,-,-,-,-0.7
22,2.0,1264,4982,-,-,-,-,-3.0
